mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005267047882080078,0.0003256260030201406,0.0025121212005615235,0.0011395578932826003,squared_error,,1,2,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7378555836926454,0.6785994797651695,0.6551892940145867,0.6619729099503435,0.6931999594443126,0.6853634453734117,0.02939450059606918,170
0.00491800308227539,0.0011138361658221514,0.002117919921875,0.000589380206337416,squared_error,,1,5,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7723641312971066,0.7282948194541572,0.6590822778245985,0.685042543347373,0.7411777559961912,0.7171923055838854,0.04038039260903782,159
0.003746700286865234,0.0012671401450808817,0.0018213748931884765,0.0007732713486322991,squared_error,,1,10,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8020341482003712,0.7784697658979718,0.7011254732336897,0.7159879546295014,0.7401422853959885,0.7475519254715046,0.0377646076078329,143
0.003923940658569336,0.0010740288386564462,0.002110147476196289,0.0008076631497742908,squared_error,,2,2,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8259416706891349,0.7473825403026539,0.7080729080406329,0.7640555124804711,0.7218326984650825,0.753457065995595,0.041141383697808745,133
0.0034340858459472657,0.00017443134715488257,0.00205841064453125,0.0003959330449402995,squared_error,,2,5,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8272407367895427,0.7454384302216062,0.7121257583059255,0.7768281930705194,0.7409136194657225,0.7605093475706632,0.03917009023572316,121
0.0033186912536621095,0.0006804847606352386,0.0012026786804199218,0.0002512477384877561,squared_error,,2,10,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8330171013768463,0.8067718739079451,0.7436226426801238,0.7939571818593681,0.7579078248855151,0.7870553249419597,0.03251103650480866,101
0.0038278579711914064,0.0004012248052890697,0.0017106056213378907,0.0009338310341178153,squared_error,,4,2,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8407371366971291,0.8036863106233786,0.7589129867790189,0.8087142029094334,0.755029267208365,0.793415980843465,0.03238148683000522,66
0.0031833648681640625,0.0010847243918693202,0.0012082099914550782,0.00025091135923215014,squared_error,,4,5,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8407290907262641,0.8036863106233786,0.758659002467698,0.8087142029094334,0.755029267208365,0.7933635747870278,0.0324333755150235,73
0.003993368148803711,0.0007739415310765446,0.0015066146850585937,0.0007781986132555433,squared_error,,4,10,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8411756194548223,0.8116444680785624,0.7634190115865589,0.8148517538749531,0.7618429327062829,0.7985867571402359,0.031099016345670433,53
0.002311849594116211,0.00024999584041684303,0.0019129276275634765,0.0004929826246375433,squared_error,5,1,2,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8545662407237871,0.8379614582534625,0.8228308664781092,0.7790062557646459,0.7736229513447136,0.8135975545129437,0.03209926464178687,51
0.0025203704833984377,0.0004568052291621243,0.0016106605529785157,0.0004969860896005409,squared_error,5,1,5,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8553807140435283,0.8379614582534626,0.8228308664781092,0.7790062557646459,0.7736229513447135,0.8137604491768918,0.03230814278127228,47
0.0023261547088623048,0.0005215016426764084,0.0013047218322753905,0.00039673896349391057,squared_error,5,1,10,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8548558404294339,0.8379614582534625,0.8228308664781092,0.7790062557646459,0.7736229513447136,0.8136554744540729,0.03217331218896725,49
0.002609109878540039,0.0005835235296342281,0.001202392578125,0.0002479866539893422,squared_error,5,2,2,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.873888771519408,0.8357565978333569,0.8224147955807266,0.8290990775430097,0.7762541077303075,0.8274826700413616,0.031223855805187137,34
0.0023107528686523438,0.0006794544175582778,0.0012063026428222657,0.0008175854225162005,squared_error,5,2,5,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.873888771519408,0.8357565978333569,0.8224147955807266,0.8290990775430097,0.7762541077303075,0.8274826700413616,0.031223855805187137,34
0.0022061824798583984,0.0005129674126649617,0.0014045238494873047,0.0003781795772263408,squared_error,5,2,10,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8736208188844574,0.8357565978333569,0.8224147955807266,0.8290990775430097,0.7762541077303075,0.8274290795143715,0.031144290074649632,38
0.002213859558105469,0.00040686703269117083,0.0020141124725341795,0.00045451515116117977,squared_error,5,4,2,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8715084058300342,0.8361358505456787,0.8168067563111256,0.8477150757195921,0.7870735984763202,0.8318479373765502,0.02854499461652972,22
