mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0012014389038085937,0.0004026651488322263,0.0,0.0,squared_error,auto,10,"{'criterion': 'squared_error', 'max_features': 'auto', 'n_estimators': 10}",,,,,,,,17
0.0007337093353271485,0.0003869205379849861,0.0,0.0,squared_error,auto,100,"{'criterion': 'squared_error', 'max_features': 'auto', 'n_estimators': 100}",,,,,,,,17
0.019931888580322264,0.0011668727938657206,0.005114507675170898,0.0007238145303990338,squared_error,sqrt,10,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'n_estimators': 10}",0.8482497211439529,0.46923048158946645,0.8380135683582582,0.7789443359021475,0.8469263830622005,0.7562728980112051,0.1457852327607588,14
0.20663800239562988,0.024399936565034246,0.013123559951782226,0.003248093086027143,squared_error,sqrt,100,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'n_estimators': 100}",0.9367653214407038,0.7124246119976811,0.84461348262423,0.7645179803693534,0.8044808637197316,0.8125604520303401,0.07596682387083224,9
0.02954888343811035,0.012565457010179297,0.005009508132934571,0.000644919719796824,squared_error,log2,10,"{'criterion': 'squared_error', 'max_features': 'log2', 'n_estimators': 10}",0.889588472598158,0.8334985990333169,0.8650092473127958,0.6847508456249994,0.6828606394580866,0.7911415608054714,0.08942716639069738,11
0.2064983367919922,0.04643968843354163,0.010715341567993164,0.0007455006025189674,squared_error,log2,100,"{'criterion': 'squared_error', 'max_features': 'log2', 'n_estimators': 100}",0.934161548876845,0.7635660738254144,0.833518299161045,0.7716209924565963,0.8407310069292544,0.8287195842498309,0.0613034076530536,4
0.0011040210723876954,0.00020105450737383163,0.0,0.0,absolute_error,auto,10,"{'criterion': 'absolute_error', 'max_features': 'auto', 'n_estimators': 10}",,,,,,,,17
0.0011017799377441406,0.000664368836250089,0.0,0.0,absolute_error,auto,100,"{'criterion': 'absolute_error', 'max_features': 'auto', 'n_estimators': 100}",,,,,,,,17
0.02054286003112793,0.0020152431794954848,0.005158376693725586,0.0011425882933256638,absolute_error,sqrt,10,"{'criterion': 'absolute_error', 'max_features': 'sqrt', 'n_estimators': 10}",0.853208615152828,0.8467856511012888,0.866376308868831,0.6983489681241716,0.8059853953604507,0.8141409877215139,0.06131033815735365,8
0.17935533523559571,0.022919165344000656,0.010014104843139648,0.0017907526717887224,absolute_error,sqrt,100,"{'criterion': 'absolute_error', 'max_features': 'sqrt', 'n_estimators': 100}",0.9093895474535642,0.7860900724503971,0.8167419520894585,0.7647640200593153,0.8440335049935273,0.8242038194092526,0.050381051221095575,6
0.02263813018798828,0.00651770323528096,0.004712295532226562,0.0012174712776317506,absolute_error,log2,10,"{'criterion': 'absolute_error', 'max_features': 'log2', 'n_estimators': 10}",0.9048784261647937,0.66399328837296,0.7210975473377851,0.6859145537290487,0.77922607224564,0.7510219775700455,0.08622727948620185,15
0.15793242454528808,0.0035413769872573025,0.009412813186645507,0.0010208505300530963,absolute_error,log2,100,"{'criterion': 'absolute_error', 'max_features': 'log2', 'n_estimators': 100}",0.9280075079020509,0.7658066160347169,0.8434739332591782,0.7664872294193872,0.8276447858829663,0.8262840144996598,0.05979663091968738,5
0.0009016513824462891,0.0009206218141730878,0.0,0.0,friedman_mse,auto,10,"{'criterion': 'friedman_mse', 'max_features': 'auto', 'n_estimators': 10}",,,,,,,,17
0.001101207733154297,0.0002038731977574555,0.0,0.0,friedman_mse,auto,100,"{'criterion': 'friedman_mse', 'max_features': 'auto', 'n_estimators': 100}",,,,,,,,17
0.01722092628479004,0.0005119360994339809,0.004008293151855469,0.0005525723463271563,friedman_mse,sqrt,10,"{'criterion': 'friedman_mse', 'max_features': 'sqrt', 'n_estimators': 10}",0.855996236791258,0.5368868836597256,0.8613701652940263,0.6214424522372863,0.9069775917014062,0.7565346659367405,0.14833153028024915,13
0.12364406585693359,0.028897101508250277,0.007850122451782227,0.0022999248169862504,friedman_mse,sqrt,100,"{'criterion': 'friedman_mse', 'max_features': 'sqrt', 'n_estimators': 100}",0.9379473657526494,0.7557817578741448,0.8587275061153102,0.7985978531481553,0.8202323747276259,0.834257371523577,0.06160702251157903,1
0.018115949630737305,0.0005862772566253584,0.003912973403930664,0.0003770199587259324,friedman_mse,log2,10,"{'criterion': 'friedman_mse', 'max_features': 'log2', 'n_estimators': 10}",0.8807086445790009,0.6775222832249408,0.8094760274597133,0.6561451778278939,0.7871593730728799,0.7622023012328858,0.08404788267913776,12
0.12462358474731446,0.023823889497135632,0.007343435287475586,0.002263083402642656,friedman_mse,log2,100,"{'criterion': 'friedman_mse', 'max_features': 'log2', 'n_estimators': 100}",0.9227877206243028,0.7705686221597948,0.8758553244089912,0.7682518476056459,0.8162664036499405,0.8307459836897351,0.060403682142380545,2
0.001100778579711914,0.00020229902840487683,0.0,0.0,poisson,auto,10,"{'criterion': 'poisson', 'max_features': 'auto', 'n_estimators': 10}",,,,,,,,17
0.001001882553100586,2.7532959047798255e-06,0.0,0.0,poisson,auto,100,"{'criterion': 'poisson', 'max_features': 'auto', 'n_estimators': 100}",,,,,,,,17
0.018728876113891603,0.00039865638597952753,0.004104232788085938,0.00048700834949317137,poisson,sqrt,10,"{'criterion': 'poisson', 'max_features': 'sqrt', 'n_estimators': 10}",0.8960167695153767,0.5165512092031959,0.8266119368801279,0.5824245579598728,0.8350412720547382,0.7313291491226623,0.15182830246165205,16
0.10481410026550293,0.02079172023335637,0.0065438270568847655,0.0015365072288518165,poisson,sqrt,100,"{'criterion': 'poisson', 'max_features': 'sqrt', 'n_estimators': 100}",0.9284183312259595,0.8082384612824621,0.8621323997833392,0.7504022014200963,0.8020623558846146,0.8302507499192944,0.06051153728731181,3
0.014421987533569335,0.0034672094388134744,0.004010915756225586,0.0004456924501350913,poisson,log2,10,"{'criterion': 'poisson', 'max_features': 'log2', 'n_estimators': 10}",0.8092804770245142,0.7134730988509275,0.8380095150873276,0.871730916034315,0.8207406959581938,0.8106469405910556,0.05296502464389596,10
0.09483647346496582,0.014621584676846554,0.006365633010864258,0.0010485548233164564,poisson,log2,100,"{'criterion': 'poisson', 'max_features': 'log2', 'n_estimators': 100}",0.8982061590181232,0.7578678110370427,0.8613060474212404,0.7532389358955922,0.8106433884549242,0.8162524683653846,0.05684569932802029,7
