mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04173111915588379,0.007341156727976097,0.003314352035522461,0.00040336403522434056,squared_error,sqrt,10,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'n_estimators': 10}",0.8268069192243818,0.8049148801763666,0.7754068734303694,0.8162219667072723,0.756250405860615,0.795920209079801,0.026235642021381955,14
0.3279852390289307,0.020652127950279205,0.012289905548095703,0.0010229412370843512,squared_error,sqrt,100,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'n_estimators': 100}",0.8523216326919035,0.8218638017700926,0.8016339558316479,0.8360532519287859,0.7721686223829914,0.8168082529210843,0.027857080286539316,2
0.031017255783081055,0.0030824715906256077,0.0025078296661376954,0.0006373443272335892,squared_error,log2,10,"{'criterion': 'squared_error', 'max_features': 'log2', 'n_estimators': 10}",0.823933254624289,0.799210341205888,0.7781985622960272,0.8207928318125989,0.7467297863209346,0.7937729552519475,0.028722479045554025,16
0.2985532283782959,0.017709082761410803,0.012027311325073241,0.0015583473970470752,squared_error,log2,100,"{'criterion': 'squared_error', 'max_features': 'log2', 'n_estimators': 100}",0.8474502623255483,0.8202667538946916,0.8058831232423765,0.8336323738341624,0.7713099322396231,0.8157084891072804,0.026143271619766636,4
0.0326993465423584,0.0038709583996686648,0.0021140575408935547,0.0009741016041246364,friedman_mse,sqrt,10,"{'criterion': 'friedman_mse', 'max_features': 'sqrt', 'n_estimators': 10}",0.8234203527966462,0.7938086264188451,0.8004043373611507,0.8153296420005598,0.7628720906958582,0.7991670098546119,0.020961964272905146,13
0.3358942985534668,0.041790120539314926,0.015558576583862305,0.004999890074588069,friedman_mse,sqrt,100,"{'criterion': 'friedman_mse', 'max_features': 'sqrt', 'n_estimators': 100}",0.846906467743505,0.8250937149142334,0.8061766774682472,0.8329043860242661,0.7716516360621766,0.8165465764424855,0.02602093382900063,3
0.028471946716308594,0.00093897882812218,0.002413511276245117,0.00038261795089584305,friedman_mse,log2,10,"{'criterion': 'friedman_mse', 'max_features': 'log2', 'n_estimators': 10}",0.8409888777220256,0.8028750007161112,0.790609349682394,0.818358441099623,0.7671894990522878,0.8040042336544884,0.02493964689271209,11
0.3436403274536133,0.04835424275722341,0.01147928237915039,0.0017152932810234178,friedman_mse,log2,100,"{'criterion': 'friedman_mse', 'max_features': 'log2', 'n_estimators': 100}",0.8492070424038616,0.8273281391106935,0.8060736039734098,0.836561455290028,0.7703170914051494,0.8178974664366285,0.027645134928006524,1
0.10906424522399902,0.02224306762391594,0.0036176204681396484,0.0024707053698544965,absolute_error,sqrt,10,"{'criterion': 'absolute_error', 'max_features': 'sqrt', 'n_estimators': 10}",0.8397759687715635,0.8029050403687008,0.7974779989922135,0.8088973297546044,0.75413654175301,0.8006385759280186,0.02748638871659857,12
0.9559657573699951,0.04461500035541959,0.012614059448242187,0.004706234109264675,absolute_error,sqrt,100,"{'criterion': 'absolute_error', 'max_features': 'sqrt', 'n_estimators': 100}",0.8468747990787724,0.8238834388994047,0.8072798849590004,0.8310421154659238,0.7691450059816065,0.8156450488769416,0.026504595767596797,5
0.1093639850616455,0.02749931896490103,0.0035129547119140624,0.0021561871023171677,absolute_error,log2,10,"{'criterion': 'absolute_error', 'max_features': 'log2', 'n_estimators': 10}",0.8433596739875251,0.8078375401916694,0.7920005386910535,0.8125004641963617,0.7652706797365142,0.8041937793606249,0.025612216265891947,10
0.9883774757385254,0.06150867288550241,0.010297441482543945,0.0013130699431889135,absolute_error,log2,100,"{'criterion': 'absolute_error', 'max_features': 'log2', 'n_estimators': 100}",0.8478774730285402,0.8211117368421588,0.808872861152247,0.8289177624749147,0.7685697654198815,0.8150699197835485,0.02647742337170348,7
0.052389097213745114,0.012103608549696278,0.0047242164611816405,0.003373794475141652,poisson,sqrt,10,"{'criterion': 'poisson', 'max_features': 'sqrt', 'n_estimators': 10}",0.8509311844280247,0.8101845458995204,0.7980262103728615,0.8158933965038067,0.7580653854308351,0.8066201445270098,0.02997861488332059,9
0.3548598289489746,0.031044496044876673,0.01339411735534668,0.004047143445959459,poisson,sqrt,100,"{'criterion': 'poisson', 'max_features': 'sqrt', 'n_estimators': 100}",0.8481974772984919,0.8262716028524882,0.7975200921307092,0.8383811264247684,0.765467261376237,0.8151675120165389,0.030115436825819426,6
0.03882756233215332,0.005696633209399585,0.002003765106201172,0.00031584070026911365,poisson,log2,10,"{'criterion': 'poisson', 'max_features': 'log2', 'n_estimators': 10}",0.8325735250545749,0.8166837379971854,0.7610108833154989,0.81122849500873,0.7543912542183764,0.795177579118873,0.031462647517453424,15
0.2606755256652832,0.005129458259861574,0.0073201656341552734,0.0008665794423904598,poisson,log2,100,"{'criterion': 'poisson', 'max_features': 'log2', 'n_estimators': 100}",0.8445761436980374,0.8226487100651445,0.8003675405016113,0.832841174817901,0.7745414806858822,0.8149950099537152,0.024910074637184518,8
