mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0723001480102539,0.0028642441989537447,0.031227922439575194,0.0028368830989170804,10,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",-0.08565376685402915,-0.035808633937252754,-0.08609694341762886,-0.13571851416808434,-0.16826095595593382,-0.10230776286658579,0.04566920708741155,16
0.04890284538269043,0.002819689568868383,0.01063675880432129,0.0014669079488988067,10,auto,sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",-0.08552173810157737,-0.03776120476275291,-0.08581862421383746,-0.13729319414710028,-0.16892453266800755,-0.10306385877865512,0.04556058932781816,17
0.0699554443359375,0.007554016913536111,0.008120107650756835,0.0015357057848168318,10,auto,linear,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",-0.10023135752985302,0.06647746286769596,-0.03978295634892026,-0.07494637436492058,-0.09012956376655379,-0.047722557828510336,0.060665222960410776,10
0.06901516914367675,0.003942467542848543,0.0341191291809082,0.002228235973805332,10,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",-0.09366133182720571,-0.021247571046204783,-0.08294379359848825,-0.13981845537835969,-0.16844023787666473,-0.10122227794538463,0.05058684352594523,15
0.06933183670043945,0.003617571143343367,0.014754247665405274,0.0012990792947281972,10,scale,sigmoid,"{'C': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",-0.08650838141506645,-0.03990516053383253,-0.08594920057057043,-0.14071994750546768,-0.17018714021433157,-0.10465396604785374,0.04575344848982037,22
0.06452670097351074,0.00474752502588681,0.007721090316772461,0.0009242221427156291,10,scale,linear,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",-0.10023135752985302,0.06647746286769596,-0.03978295634892026,-0.07494637436492058,-0.09012956376655379,-0.047722557828510336,0.060665222960410776,10
0.0710176944732666,0.005666675669656047,0.032405948638916014,0.0036902563613885704,100,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",-0.08175623657690423,-0.018715468906131294,-0.08062285018428694,-0.13139838899306944,-0.15944739545643505,-0.09438806802336538,0.048327769634715384,14
0.046127843856811526,0.005581493375290207,0.009827470779418946,0.001166604961005353,100,auto,sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",-0.08552173810157737,-0.03776120476275291,-0.08581862421383746,-0.13729319414710028,-0.16892453266800755,-0.10306385877865512,0.04556058932781816,17
0.1702127456665039,0.025720829435755262,0.009622907638549805,0.0015694059727208599,100,auto,linear,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.4869666041033994,0.5517797089013142,0.5273374524283401,0.48963449563516603,0.4600143043858812,0.5031465130908201,0.03241956439899511,7
0.06099519729614258,0.004700971854973955,0.032189559936523435,0.0024918764848152137,100,scale,rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",-0.2033875936396019,-0.04002747834067466,-0.1612847234289725,-0.20361118606223938,-0.20649471228726757,-0.1629611387517512,0.06371403590468415,26
0.07601213455200195,0.0130777959609073,0.01985592842102051,0.009789140300766924,100,scale,sigmoid,"{'C': 100, 'gamma': 'scale', 'kernel': 'sigmoid'}",-0.10389939573849372,-0.06721035122741847,-0.10758230239168887,-0.15452482172279147,-0.1842360009319437,-0.12349057440246725,0.04112780633934423,23
0.1717132568359375,0.029207318949312108,0.007267427444458008,0.0007481419620638556,100,scale,linear,"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.4869666041033994,0.5517797089013142,0.5273374524283401,0.48963449563516603,0.4600143043858812,0.5031465130908201,0.03241956439899511,7
0.10589299201965333,0.012642368682565082,0.03367042541503906,0.005221564783413142,1000,auto,rbf,"{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",-0.10116912229961272,0.030068767691118214,-0.10595540632369471,-0.13180863718208524,-0.1564056969290415,-0.0930540190086632,0.06466355515418278,13
